wavelength,transparent
519.201,1.0
519.574,1.0
519.947,1.0
520.319,1.0
520.692,1.0
521.064,1.0
521.436,1.0
521.809,1.0
522.181,1.0
522.553,1.0
522.925,1.0
523.297,1.0
523.67,1.0
524.042,1.0
524.413,1.0
524.785,1.0
525.157,1.0
525.529,1.0
525.901,1.0
526.273,1.0
526.644,1.0
527.016,1.0
527.387,1.0
527.759,1.0
528.13,1.0
528.502,1.0
528.873,1.0
529.244,1.0
529.615,1.0
529.987,1.0
530.358,1.0
530.729,1.0
531.1,0.9997746232065031
531.471,0.9995493434502944
531.842,0.9995493434502944
532.212,0.9993241606687205
532.583,0.9993241606687205
532.954,0.9990990747991735
533.325,0.9988740857791099
533.695,0.9988740857791099
534.066,0.9986491935460323
534.437,0.9986491935460323
534.807,0.998424398037497
535.177,0.998199699191122
535.548,0.998199699191122
535.918,0.997975096944568
536.288,0.9977505912355578
536.659,0.9977505912355578
537.029,0.9975261820018644
537.399,0.9975261820018644
537.769,0.9973018691813176
538.139,0.9970776527117948
538.509,0.9970776527117948
538.879,0.996853532531227
539.249,0.9966295085776062
539.619,0.9966295085776062
539.988,0.9964055807889677
540.358,0.9964055807889677
540.728,0.9961817491034097
541.097,0.9959580134590739
541.467,0.9959580134590739
541.836,0.9957343737941617
542.206,0.9957343737941617
542.575,0.9955108300469286
542.944,0.995287382155675
543.314,0.995287382155675
543.683,0.9950640300587642
544.052,0.994840773694605
544.421,0.994840773694605
544.79,0.9946176130016589
545.159,0.9946176130016589
545.528,0.9943945479184474
545.897,0.9941715783835352
546.266,0.9941715783835352
546.635,0.9939487043355468
547.004,0.9939487043355468
547.372,0.9937259257131591
547.741,0.9935032424550942
548.11,0.9935032424550942
548.478,0.9932806545001368
548.847,0.9930581617871136
549.215,0.9930581617871136
549.583,0.992835764254914
549.952,0.992835764254914
550.32,0.9926134618424696
550.688,0.992391254488774
551.056,0.992391254488774
551.425,0.992391254488774
551.793,0.992391254488774
552.161,0.992391254488774
552.529,0.992391254488774
552.897,0.992391254488774
553.264,0.992391254488774
553.632,0.992391254488774
554.0,0.992391254488774
554.368,0.992391254488774
554.735,0.992391254488774
555.103,0.992391254488774
555.47,0.992391254488774
555.838,0.992391254488774
556.205,0.992391254488774
556.573,0.992391254488774
556.94,0.992391254488774
557.307,0.992391254488774
557.675,0.992391254488774
558.042,0.992391254488774
558.409,0.992391254488774
558.776,0.992391254488774
559.143,0.992391254488774
559.51,0.992391254488774
559.877,0.992391254488774
560.244,0.992391254488774
560.611,0.992391254488774
560.977,0.992391254488774
561.344,0.992391254488774
561.711,0.992391254488774
562.077,0.992391254488774
562.444,0.992391254488774
562.81,0.992391254488774
563.177,0.992391254488774
563.543,0.992391254488774
563.909,0.992391254488774
564.276,0.992391254488774
564.642,0.992391254488774
565.008,0.992391254488774
565.374,0.992391254488774
565.74,0.992391254488774
566.106,0.992391254488774
566.472,0.992391254488774
566.838,0.992391254488774
567.204,0.992391254488774
567.57,0.992391254488774
567.936,0.992391254488774
568.301,0.992391254488774
568.667,0.992391254488774
569.033,0.992391254488774
569.398,0.9921691421328632
569.764,0.9921691421328632
570.129,0.9919471247138326
570.495,0.9919471247138326
570.86,0.99172520217083
571.225,0.9915033744430473
571.59,0.9915033744430473
571.956,0.9912816414697386
572.321,0.9912816414697386
572.686,0.9910600031902023
573.051,0.9908384595437887
573.416,0.9908384595437887
573.781,0.9906170104699072
574.146,0.9903956559080069
574.51,0.9903956559080069
574.875,0.9901743957976054
575.24,0.9901743957976054
575.604,0.9899532300782572
575.969,0.9897321586895711
576.334,0.9897321586895711
576.698,0.9895111815712146
577.063,0.9895111815712146
577.427,0.9892902986628967
577.791,0.9890695099043879
578.156,0.9890695099043879
578.52,0.9888488152355025
578.884,0.9888488152355025
579.248,0.9886282145961035
579.612,0.9884077079261201
579.976,0.9884077079261201
580.34,0.9881872951655154
580.704,0.9881872951655154
581.068,0.9879669762543162
581.432,0.9877467511325896
581.796,0.9877467511325896
582.159,0.9875266197404645
582.523,0.9873065820181133
582.886,0.9873065820181133
583.25,0.9870866379057586
583.614,0.9870866379057586
583.977,0.986866787343682
584.34,0.9866470302722031
584.704,0.9866470302722031
585.067,0.9864273666317099
585.43,0.9864273666317099
585.793,0.9862077963626259
586.157,0.9859883194054275
586.52,0.9859883194054275
586.883,0.98576893570065
587.246,0.98576893570065
587.609,0.9855496451888687
587.971,0.985330447810719
588.334,0.985330447810719
588.697,0.9851113435068798
589.06,0.9851113435068798
589.422,0.984892332218078
589.785,0.984673413885105
590.148,0.984673413885105
590.51,0.9844545884487856
590.872,0.9844545884487856
591.235,0.9842358558500073
591.597,0.9842358558500073
591.959,0.9840172160296975
592.322,0.9840172160296975
592.684,0.9837986689288437
593.046,0.9837986689288437
593.408,0.9835802144884764
593.77,0.9835802144884764
594.132,0.9833618526496753
594.494,0.9833618526496753
594.856,0.9831435833535758
595.218,0.9831435833535758
595.579,0.9831435833535758
595.941,0.9829254065413601
596.303,0.9829254065413601
596.664,0.9827073221542632
597.026,0.9827073221542632
597.388,0.9824893301335644
597.749,0.9824893301335644
598.11,0.9822714304205933
598.472,0.9822714304205933
598.833,0.9820536229567364
599.194,0.9820536229567364
599.555,0.9818359076834196
599.917,0.9818359076834196
600.278,0.9816182845421286
600.639,0.9816182845421286
601.0,0.9814007534743912
601.361,0.9814007534743912
601.721,0.981183314421782
602.082,0.981183314421782
602.443,0.98096596732594
602.804,0.98096596732594
603.164,0.9807487121285362
603.525,0.9807487121285362
603.886,0.9805315487713033
