thermalcut,wavelength[nm],Thermal_cut_L,Thermal_cut_M,Thermal_cut_S,NDfilter,wavelength[nm],absOD1,absOD2,refOD1
,1149.9738,1,0.76296255,0.002939499,,1149.9738,0.081518829,0.003624599,0.069957956
,1159.9856,1,0.726429031,0.002857393,,1159.9856,0.08039101,0.003507702,0.069807581
,1169.985,1,0.688072635,0.002808067,,1169.985,0.079404107,0.00340402,0.069608639
,1180.0248,1,0.659396293,0.002758379,,1180.0248,0.078633321,0.003317621,0.069454946
,1189.9988,1,0.660452005,0.00274809,,1189.9988,0.077990618,0.003260165,0.069287505
,1200.0129,1,0.675044899,0.00273723,,1200.0129,0.077562799,0.003220333,0.069055324
,1210.0139,1,0.696753759,0.002745719,,1210.0139,0.077116318,0.003194448,0.068873669
,1220.0018,1,0.727755633,0.002766549,,1220.0018,0.076877198,0.00317087,0.068695716
,1229.9764,1,0.763235378,0.002784168,,1229.9764,0.076747855,0.003171623,0.068506613
,1239.9903,1,0.790252076,0.002815672,,1239.9903,0.076682295,0.003172679,0.068289619
,1249.9905,1,0.807382087,0.002847677,,1249.9905,0.076815243,0.003183362,0.068063022
,1259.9771,1,0.817848825,0.002885526,,1259.9771,0.07701374,0.00319632,0.067850925
,1270.0022,1,0.824249513,0.002929334,,1270.0022,0.077294043,0.003222655,0.067661787
,1280.0132,1,0.827823367,0.002997957,,1280.0132,0.077770532,0.003267322,0.067479204
,1290.0099,1,0.830370944,0.003061689,,1290.0099,0.078054345,0.003303886,0.067239036
,1299.9924,1,0.831857872,0.003138414,,1299.9924,0.078714194,0.003368929,0.067023855
,1310.0125,1,0.831579434,0.003236268,,1310.0125,0.079257331,0.003427465,0.066767303
,1320.0179,1,0.828845778,0.003305315,,1320.0179,0.079889216,0.003498892,0.066595364
,1330.0085,1,0.820510937,0.003422417,,1330.0085,0.08085639,0.003591302,0.066341773
,1339.9842,1,0.80161258,0.003532069,,1339.9842,0.081763659,0.003687562,0.066082232
,1349.9967,1,0.757116581,0.003644066,,1349.9967,0.082640681,0.003790832,0.06587394
,1359.9938,1,0.71485747,0.003786042,,1359.9938,0.083812094,0.003921197,0.065632351
,1369.9755,1,0.675305099,0.00392177,,1369.9755,0.084952142,0.004055525,0.065225389
,1379.9933,1,0.636719213,0.004082352,,1379.9933,0.086234425,0.004207075,0.064325366
,1389.9952,1,0.612949063,0.0042429,,1389.9952,0.08759002,0.004374687,0.064164549
,1399.9812,1,0.576801298,0.004362013,,1399.9812,0.088838864,0.004546167,0.064209371
,1410.0025,1,0.51578459,0.00447476,,1410.0025,0.090198841,0.004735942,0.064318813
,1420.0075,1,0.515852976,0.004669449,,1420.0075,0.091532798,0.00493599,0.06412877
,1429.996,1,0.553503294,0.004892223,,1429.996,0.093190767,0.005163866,0.063957683
,1440.0191,1,0.601157121,0.005129516,,1440.0191,0.095092608,0.00543662,0.063782296
,1450.0253,1,0.639302326,0.005388605,,1450.0253,0.09713023,0.005702919,0.063549821
,1460.0145,1,0.656895325,0.005676537,,1460.0145,0.098915554,0.005893628,0.063283987
,1469.9867,1,0.679719798,0.005986472,,1469.9867,0.101228158,0.006222186,0.063029634
,1479.9924,1,0.71515503,0.006344736,,1479.9924,0.103616777,0.006579353,0.062812524
,1489.9806,1,0.736598705,0.006721411,,1489.9806,0.106262895,0.006972605,0.062582309
,1500.0017,1,0.752860896,0.007124889,,1500.0017,0.1087943,0.007390975,0.062331558
,1510.005,1,0.764778562,0.007555011,,1510.005,0.111534413,0.007843653,0.062140238
,1519.9902,1,0.773020531,0.008026981,,1519.9902,0.114391913,0.008334144,0.061923272
,1530.0075,1,0.775777282,0.008525111,,1530.0075,0.117365947,0.008867169,0.061680246
,1540.0064,1,0.776761077,0.009054938,,1540.0064,0.120446566,0.009417321,0.061507671
,1549.9867,1,0.777390249,0.009612033,,1549.9867,0.123614169,0.010031947,0.06126158
,1559.9983,1,0.781125467,0.0102031,,1559.9983,0.126681781,0.010648744,0.061032776
,1569.991,1,0.784016188,0.010829778,,1569.991,0.13007971,0.011329971,0.060830734
,1580.0143,1,0.785660701,0.011500462,,1580.0143,0.133540636,0.012056681,0.060597201
,1590.0181,1,0.785649733,0.012211844,,1590.0181,0.137082346,0.012836538,0.060360608
,1600.0024,1,0.782300455,0.012948475,,1600.0024,0.140685023,0.013650893,0.060127738
,1610.0299,1,0.770923872,0.013185329,,1610.0299,0.142898153,0.013830694,0.059863429
,1619.9606,1,0.737818916,0.013898865,,1619.9606,0.146311343,0.01458126,0.059653736
,1629.9975,1,0.687723618,0.014628372,,1629.9975,0.149887817,0.015382351,0.059423651
,1640.0303,1,0.693522948,0.015342765,,1640.0303,0.153248285,0.016177219,0.059256559
,1649.9488,1,0.689176147,0.016090289,,1649.9488,0.156725652,0.016991351,0.059024936
,1659.9734,1,0.622620639,0.016814455,,1659.9734,0.159738769,0.017779467,0.058813671
,1669.9938,1,0.478866458,0.017562589,,1669.9938,0.163141224,0.018599389,0.05863478
,1680.0099,1,0.337551243,0.018284605,,1680.0099,0.166341875,0.019406184,0.058388223
,1690.0218,1,0.269082769,0.018977826,,1690.0218,0.169514749,0.020228471,0.058206265
,1700.0295,1,0.208243751,0.019696006,,1700.0295,0.172504949,0.021008544,0.058030549
,1710.0329,1,0.155690707,0.020352845,,1710.0329,0.175433468,0.021790405,0.05784181
,1720.0319,1,0.124999162,0.020962026,,1720.0319,0.17803138,0.022515634,0.057602822
,1730.0267,1,0.139724807,0.021564921,,1730.0267,0.180512353,0.023197553,0.057477675
,1740.017,1,0.174973518,0.022074977,,1740.017,0.18281471,0.023848027,0.057268506
,1750.003,1,0.198931213,0.022554302,,1750.003,0.185147833,0.024451243,0.057093993
,1759.9845,1,0.224920097,0.022974493,,1759.9845,0.186953179,0.024983636,0.056913737
,1769.9616,1,0.25094087,0.023326015,,1769.9616,0.188728614,0.025475089,0.056726767
,1780.0438,1,0.266115346,0.023641828,,1780.0438,0.190383667,0.025922745,0.056508614
,1790.012,1,0.274558823,0.023855045,,1790.012,0.191584352,0.026289492,0.056361894
,1799.9755,1,0.28635858,0.024047146,,1799.9755,0.19254591,0.02658907,0.056153993
,1810.044,1,0.308679943,0.024187767,,1810.044,0.193394354,0.026864103,0.056012879
,1819.9984,1,0.335479974,0.024226044,,1819.9984,0.194005991,0.027062634,0.055814048
,1829.9483,1,0.360741644,0.024225957,,1829.9483,0.194957892,0.027249397,0.055630162
,1840.0028,1,0.384771583,0.024177664,,1840.0028,0.195595903,0.027392944,0.055400301
,1850.0525,1,0.403974447,0.024095134,,1850.0525,0.195685097,0.027408423,0.05542492
,1859.9884,1,0.413127547,0.023951829,,1859.9884,0.195583069,0.027375117,0.055175014
,1870.0286,1,0.409909453,0.02377228,,1870.0286,0.195557219,0.027333948,0.054904918
,1879.9549,1,0.381997349,0.02354854,,1879.9549,0.19515067,0.027231953,0.054895482
,1889.9856,1,0.299173906,0.023298875,,1889.9856,0.194619921,0.027071245,0.054750366
,1900.0113,1,0.151045245,0.023007908,,1900.0113,0.193935536,0.026900395,0.054550086
,1910.0322,1,0.073854469,0.022691769,,1910.0322,0.193333298,0.026727158,0.054321136
,1920.0481,1,0.106994768,0.0223568,,1920.0481,0.192692772,0.026492672,0.054222086
,1929.9503,1,0.17491172,0.022023453,,1929.9503,0.191661751,0.026215163,0.054149457
,1939.9563,1,0.23439294,0.021642627,,1939.9563,0.190292484,0.025895831,0.053910406
,1949.9574,1,0.28616064,0.021281333,,1949.9574,0.189357172,0.0256388,0.053779694
,1959.9534,1,0.330147767,0.020898574,,1959.9534,0.188131433,0.0253533,0.053667942
,1970.0529,1,0.367079192,0.020514127,,1970.0529,0.187051089,0.025066662,0.053536817
,1980.0387,1,0.397295178,0.02012789,,1980.0387,0.185995469,0.024777176,0.053371007
,1990.0195,1,0.417603255,0.019753541,,1990.0195,0.185054514,0.024525603,0.053222522
,1999.9951,1,0.426060047,0.019389731,,1999.9951,0.183695773,0.024238687,0.053083328
,2009.9655,1,0.426501501,0.019036734,,2009.9655,0.182481604,0.023962564,0.052956302
,2020.039,1,0.417817932,0.018683734,,2020.039,0.181408668,0.023740473,0.052747243
,2029.999,1,0.404693204,0.018351426,,2029.999,0.180687868,0.023503946,0.052591644
,2039.9538,1,0.39642304,0.018039232,,2039.9538,0.179533261,0.023293751,0.052477308
,2050.0114,1,0.391804306,0.017729325,,2050.0114,0.178577682,0.02309486,0.052290431
,2059.9556,1,0.384611392,0.017457318,,2059.9556,0.177695044,0.022917889,0.052158543
,2070.0024,1,0.375113604,0.017195656,,2070.0024,0.176852476,0.022770821,0.052011394
,2080.0438,1,0.363535366,0.01694299,,2080.0438,0.176175833,0.022644881,0.051900871
,2089.9718,1,0.323765383,0.016743825,,2089.9718,0.175773503,0.022551999,0.051737302
,2100.0023,1,0.235892735,0.016537238,,2100.0023,0.175026869,0.022450987,0.051594381
,2110.0272,1,0.145767475,0.016355377,,2110.0272,0.174604649,0.022398057,0.051451048
,2120.0466,1,0.11209249,0.016199332,,2120.0466,0.174051024,0.022363537,0.051321297
,2129.9528,1,0.127967783,0.016043572,,2129.9528,0.173686108,0.022362595,0.051136462
,2139.961,1,0.166337694,0.015895528,,2139.961,0.173132358,0.022373134,0.050990319
,2149.9636,1,0.18130062,0.015716496,,2149.9636,0.172800566,0.02238291,0.050768898
,2159.9605,1,0.203619277,0.015461459,,2159.9605,0.17207771,0.022412499,0.050563251
,2169.9518,1,0.235178358,0.015154119,,2169.9518,0.171268015,0.02239843,0.050343594
,2180.0446,1,0.256730917,0.014817191,,2180.0446,0.17009479,0.022415684,0.050063029
,2190.0244,1,0.246846279,0.014548144,,2190.0244,0.169272217,0.022477407,0.049608072
,2199.9983,1,0.213114967,0.014330455,,2199.9983,0.168794376,0.022580243,0.048662311
,2209.9665,1,0.158691521,0.014164213,,2209.9665,0.168268553,0.022718228,0.047666142
,2220.0359,1,0.084555848,0.014081391,,2220.0359,0.168503736,0.02292874,0.04742425
,2229.9923,1,0.032889265,0.01408849,,2229.9923,0.168795906,0.023225009,0.047611188
,2240.0498,1,0.007517395,0.014151649,,2240.0498,0.169486042,0.023573464,0.047740357
,2249.9944,1,0.000597427,0.014333958,,2249.9944,0.170590228,0.023981063,0.047723565
,2260.0399,1,3.53E-05,0.014533895,,2260.0399,0.171753303,0.024420287,0.047806417
