wavelength,OD1,OD2,OD3,OD1-sterr,OD2-sterr,OD3-sterr
379.25696594427245,1.0651676974909688e-07,1.3645807300273736e-07,-1.1492281192015593e-07,4.596306417808189e-08,8.873859724400637e-08,-1.1693640524164484e-07
379.56656346749224,6.127075659888617e-08,9.584006466464966e-08,-7.695919790974811e-07,9.27345932346114e-09,4.4839202373838746e-08,-5.630145958368657e-06
379.8761609907121,4.8764021894721745e-08,7.585949586536928e-08,-1.2458001041815955e-07,8.237908377424436e-09,2.6494487877195597e-08,-1.3827910550923864e-07
380.1857585139319,5.814323998458494e-08,7.635352353992256e-08,-1.196207477767849e-07,1.1908436990344907e-08,2.6537183360604683e-08,-1.4182424960226932e-07
380.4953560371517,2.0280123051440274e-08,3.958827725421337e-08,-6.444441530875886e-08,1.4392033404963805e-09,8.164593711645764e-09,-3.703400929402124e-08
380.80495356037153,2.084924921539941e-08,4.187249509042907e-08,6.854204754745582e-07,1.6637025410014666e-09,8.032282823285678e-09,-4.3479216620898434e-06
381.1145510835913,1.8871353255244916e-08,4.0099937276452216e-08,-1.7421321448437921e-07,1.254118071295276e-09,7.280419866375971e-09,-3.1192699528421875e-07
381.4241486068112,2.2214347587243443e-08,4.79774962017713e-08,-6.210884543546081e-07,2.1143944871638348e-09,1.2104354268453915e-08,-3.842819279073825e-06
381.73374613003097,1.9817370517081897e-08,3.990608940145144e-08,-1.0040511916394595e-07,1.2137435140100235e-09,8.108523308222189e-09,-1.012267593770928e-07
382.04334365325076,2.1472047664806094e-08,4.011734926053957e-08,-1.3782533850588007e-07,1.4095710830869071e-09,8.602871895641043e-09,-1.8690879012835617e-07
382.3529411764706,1.9246591936687655e-08,3.756346974942982e-08,6.411475596494278e-08,1.6330706411944552e-09,7.305556576861444e-09,-2.600479589549851e-08
382.6625386996904,1.7769297598891403e-08,3.342488630315688e-08,4.324006104110967e-08,1.0297660670507414e-09,5.817715013446377e-09,-4.412500653208998e-08
382.9721362229102,1.7728284275476525e-08,3.917283902160897e-08,-4.74403668672946e-08,1.7740091472302555e-09,9.431304714479196e-09,-3.1706546863415314e-08
383.28173374613004,1.9681770126692147e-08,4.049286489018236e-08,-5.062300681882108e-08,1.2607901555014666e-09,9.080319023075694e-09,-2.866294991106858e-08
383.59133126934984,1.7354570272021012e-08,3.677718663969406e-08,-3.957592059477072e-07,1.2911476618724411e-09,7.523034889682262e-09,-2.7968025999781526e-06
383.9009287925697,1.9538393344704785e-08,4.0856318680981555e-08,-5.22526683496788e-08,1.7911035909497297e-09,1.0142851836336998e-08,-3.167152357173181e-08
384.2105263157895,1.9413593663015172e-08,3.903055264737259e-08,-4.6606773530737384e-08,1.6457293385196265e-09,9.24275114598592e-09,-2.7790409021398e-08
384.5201238390093,2.007112647798465e-08,3.852149177883445e-08,-5.5034767829834616e-08,1.3161314251466959e-09,1.0186368106366913e-08,-3.630850033591942e-08
384.8297213622291,1.912408931642019e-08,4.0693602725325476e-08,-3.5394017918505344e-08,1.7947816589641654e-09,1.0385618100672766e-08,-1.2692060724574345e-08
385.1393188854489,2.007624954794436e-08,3.830009156597694e-08,-6.725203708301208e-08,1.5995397751098785e-09,9.65398178118755e-09,-6.335639423421671e-08
385.4489164086687,2.066302290819298e-08,3.911543375475646e-08,-7.920135009022265e-08,1.7387329631662358e-09,9.78982148856151e-09,-7.976760829245742e-08
385.75851393188856,2.0852268785525752e-08,3.818577295971079e-08,-1.3859099460741416e-07,1.8039645597279265e-09,9.868418970192805e-09,-2.8322012722596923e-07
386.06811145510835,1.9811937722358653e-08,3.6247650803071556e-08,-5.505019167895748e-08,1.760474632066142e-09,8.550063818291438e-09,-4.4818952973594364e-08
386.3777089783282,1.908920264632996e-08,3.977348052047006e-08,-1.474014839240597e-07,1.5513398797142993e-09,1.1154447347854829e-08,-3.331494336265756e-07
386.687306501548,1.8350461352725298e-08,3.550908597778915e-08,-7.139539164170881e-08,1.9486647727222e-09,8.837418699297923e-09,-7.626661699437409e-08
386.9969040247678,2.1176868034864167e-08,3.9046795722625363e-08,-1.2668409453835775e-07,2.0535377279215147e-09,1.1028521167113442e-08,-2.541880984010353e-07
387.30650154798764,1.98646550142564e-08,3.3122294893280766e-08,-8.888322120096376e-08,1.2240885766333831e-09,6.9878530875077105e-09,-1.0752830577336677e-07
387.61609907120743,2.0747632447718293e-08,3.752757810329032e-08,-3.780490768834399e-07,8.839012947440572e-10,9.908567648479771e-09,-1.950275748231005e-06
387.9256965944272,1.79485834151489e-08,3.4435003261411554e-08,7.754559460119661e-07,1.201307454061379e-09,7.655655848622216e-09,-7.605280845928565e-06
388.2352941176471,1.9930497741391177e-08,3.2904697802004525e-08,1.8381011117156807e-07,1.0203181032758078e-09,7.93614232371341e-09,-5.122538845649033e-07
388.54489164086687,1.7336063813527054e-08,3.326850909804871e-08,-6.023922557345701e-08,1.4506528646344337e-09,6.807501516454571e-09,-4.98902608977408e-08
388.8544891640867,2.0164043209710298e-08,3.459242508642511e-08,2.030878940022726e-07,1.6350276331562458e-09,8.394881655229902e-09,-6.572056708370547e-07
389.1640866873065,1.687374388600893e-08,3.268701409542325e-08,-7.327307762062778e-08,1.080842232131447e-09,7.169299713139455e-09,-7.565858325158232e-08
389.4736842105263,1.848771613258027e-08,3.667492134603815e-08,5.1500679524226735e-06,1.3615769758363568e-09,9.005075345930713e-09,-0.0003596652863936174
389.78328173374615,1.537156026766176e-08,3.285608266610212e-08,-8.644934396822041e-08,1.2146959586929373e-09,7.0761808230717346e-09,-7.613094166531241e-08
390.09287925696594,1.8192132601771732e-08,3.38998468386522e-08,9.613437015263838e-08,1.1694502889181205e-09,8.20649977767652e-09,-1.279981069484369e-07
390.40247678018574,1.6605394468822088e-08,3.206894304126883e-08,-5.7116704059857436e-08,1.432670391480195e-09,7.139205868490728e-09,-3.7621218426778536e-08
390.7120743034056,1.76050543095878e-08,3.349327972439964e-08,2.2953326916383575e-07,1.2893182852616533e-09,7.769667352594292e-09,-9.194402334318989e-07
391.0216718266254,1.599831385437234e-08,3.0283297993476764e-08,-7.892348163557449e-08,1.6080710528866371e-09,6.630042125259773e-09,-1.0969453746601677e-07
391.33126934984523,1.7487258490361597e-08,3.34245199126289e-08,-1.3743011098502455e-07,8.919327883862557e-10,8.523013365821414e-09,-2.757236502120512e-07
391.640866873065,1.5232215576098245e-08,3.158011409562906e-08,-7.48450586841992e-08,1.341708228493548e-09,7.1854218571815316e-09,-7.162556592508791e-08
391.9504643962848,1.6939510928842265e-08,3.381796828980527e-08,-3.5804254648360776e-07,1.3241510569959728e-09,8.399564625311648e-09,-2.168444847997395e-06
392.26006191950466,1.631977825573279e-08,3.3564246173635396e-08,-1.1489140447668802e-07,1.5846981669708514e-09,7.414391338182239e-09,-1.802562326320791e-07
392.56965944272446,1.6881890431145633e-08,3.383923479363636e-08,-5.133578280468549e-08,1.3266199390006077e-09,8.476181008826694e-09,-3.4994615006784313e-08
392.87925696594425,1.5240467696333222e-08,3.22685684699128e-08,-4.70343265169083e-08,1.327553078296171e-09,7.3265556199926144e-09,-3.39349736366677e-08
393.1888544891641,1.6955824530093713e-08,3.1169109274403726e-08,-5.551220619018177e-08,1.1739312590062466e-09,6.925451215041311e-09,-4.511683830371245e-08
393.4984520123839,1.4058214547394845e-08,3.056215379711037e-08,-3.5285340335317345e-08,1.1206555303737341e-09,5.957877409043269e-09,-1.89850949289003e-08
393.80804953560374,1.6329177642466858e-08,2.9252201994079115e-08,-8.695372384334679e-08,1.1874819766589694e-09,6.491994202763931e-09,-1.1333827847193315e-07
394.11764705882354,1.5248498294509003e-08,2.972216637796748e-08,-4.753863025020071e-08,1.3500321272882316e-09,6.0234215230250736e-09,-3.836007196256659e-08
394.42724458204333,1.5688374033484895e-08,2.964690147546334e-08,-1.0879673117388113e-07,1.1133008552714086e-09,6.409673658732357e-09,-1.7779955038373388e-07
394.7368421052632,1.4522636869981408e-08,2.8090093375805972e-08,-6.194588612992956e-08,1.2661736447807448e-09,5.357177182212477e-09,-5.793324088581854e-08
395.046439628483,1.4139118205150432e-08,2.693719579646486e-08,-1.1216823496005121e-07,1.0248114999310677e-09,5.2288695572475975e-09,-1.8598850002848675e-07
395.35603715170276,1.3521617696845988e-08,2.5228497056136072e-08,-5.338858952061397e-08,1.1010502682708466e-09,4.772119141589411e-09,-4.3009775004766516e-08
395.6656346749226,1.539552987359517e-08,2.7589595648413403e-08,-1.3427802292339456e-07,1.0549221470057691e-09,5.801805915920768e-09,-3.0420200125247055e-07
395.9752321981424,1.3875207514932974e-08,2.5241362141637885e-08,-6.884867859004506e-08,1.0688236886023253e-09,4.849060885134852e-09,-8.804912662980902e-08
