wavelength,calculation,BB,WL
600.7870565169055,1.3121107691562791e-10,7.38510831039801e-11,3.3556970217447e-10
797.7592330516177,1.0365677378840752e-10,5.691511790268376e-11,2.3772429206896676e-10
1104.2603460488665,8.763510476840116e-11,2.7112796494396794e-11,0.0
1269.8757405420727,8.357047654671252e-11,2.5287548154107306e-11,0.0
1669.6587785486527,4.1684006154173365e-11,9.695582492107996e-12,0.0
1890.0527792263565,3.7201471678184156e-11,7.117392926063486e-12,0.0
