wavelength[nm],transmittance
634.697,0.002590363
635.053,0.002503526
635.409,0.002500005
635.764,0.002472675
636.12,0.002509303
636.476,0.002558727
636.832,0.002502287
637.187,0.002523136
637.543,0.002485255
637.899,0.002513599
638.254,0.002531854
638.61,0.002467954
638.965,0.002550122
639.32,0.002511774
639.676,0.00251151
640.031,0.002513014
640.386,0.002528299
640.741,0.002543054
641.096,0.002461023
641.451,0.002518217
641.806,0.002496799
642.161,0.002545183
642.516,0.002585929
642.871,0.002564471
643.226,0.002547666
643.58,0.002543506
643.935,0.002545863
644.29,0.002543978
644.644,0.002521525
644.999,0.002540935
645.353,0.002555872
645.708,0.002584659
646.062,0.002532106
646.416,0.002571181
646.771,0.002554008
647.125,0.002544763
647.479,0.002557442
647.833,0.002557204
648.187,0.002516191
648.541,0.002548579
648.895,0.002529757
649.249,0.002509627
649.603,0.002535223
649.956,0.002534396
650.31,0.0025351
650.664,0.002528856
651.017,0.002532539
651.371,0.002539822
651.725,0.002476329
652.078,0.002535911
652.431,0.00258079
652.785,0.002523482
653.138,0.002574661
653.491,0.00255065
653.845,0.002549638
654.198,0.002566905
654.551,0.002478935
654.904,0.002489058
655.257,0.002413627
655.61,0.00252315
655.963,0.002519402
656.315,0.002528718
656.668,0.002547421
657.021,0.002554299
657.374,0.002558555
657.726,0.002563114
658.079,0.002566494
658.431,0.002504062
658.784,0.002555985
659.136,0.002468851
659.489,0.002521332
659.841,0.002536537
660.193,0.002510244
660.545,0.002548932
660.897,0.002504775
661.25,0.002469753
661.602,0.002505788
661.954,0.00252208
662.305,0.002540518
662.657,0.002559592
663.009,0.002537655
663.361,0.002561394
663.713,0.002500293
664.064,0.002505361
664.416,0.00255391
664.768,0.002537766
665.119,0.002573338
665.471,0.002502677
665.822,0.002499656
666.173,0.002527457
666.525,0.00257106
666.876,0.002532492
667.227,0.002513138
667.578,0.002557358
667.929,0.002531818
668.28,0.002516941
668.631,0.002580504
668.982,0.002546941
669.333,0.002534264
669.684,0.002563174
670.035,0.002650194
670.386,0.002501611
670.736,0.002552367
671.087,0.002567081
671.437,0.002542097
671.788,0.002539786
672.138,0.00254942
672.489,0.002490564
672.839,0.002583495
673.189,0.002565859
673.54,0.002590905
673.89,0.002530188
674.24,0.00254185
674.59,0.002582559
674.94,0.002576696
675.29,0.002538905
675.64,0.002545676
675.99,0.002580025
676.34,0.002509764
676.69,0.002533063
677.039,0.002576551
677.389,0.002577395
677.739,0.002554573
678.088,0.002578138
678.438,0.00262912
678.787,0.002538414
679.137,0.002585846
679.486,0.002585142
679.835,0.002538817
680.185,0.002543678
680.534,0.002459022
680.883,0.002556168
681.232,0.002579226
681.581,0.002593608
681.93,0.002533389
682.279,0.002531474
682.628,0.002577803
682.977,0.00253175
683.325,0.002595277
683.674,0.002573076
684.023,0.00261165
684.372,0.002640653
684.72,0.002579298
685.069,0.002600609
685.417,0.002586343
685.765,0.002603466
686.114,0.002604427
686.462,0.002590133
686.81,0.002565317
687.159,0.002552508
687.507,0.002617779
687.855,0.002629893
688.203,0.002612724
688.551,0.002561221
688.899,0.002583496
689.247,0.002589061
689.595,0.002566497
689.942,0.00262353
690.29,0.002611555
690.638,0.0026577
690.985,0.002640604
691.333,0.002567269
691.681,0.002600815
692.028,0.002618561
692.375,0.002605128
692.723,0.002608666
693.07,0.002617289
693.417,0.0026167
693.765,0.002625823
694.112,0.002633544
694.459,0.002582514
694.806,0.002664482
695.153,0.002573373
695.5,0.002597704
695.847,0.002622068
696.194,0.002612388
696.54,0.002615915
696.887,0.002627753
697.234,0.002632711
697.58,0.002636671
697.927,0.002618288
698.273,0.002589547
698.62,0.002616817
698.966,0.002612925
699.313,0.002638572
699.659,0.002656911
700.005,0.002578224
700.351,0.002598331
700.698,0.002610849
701.044,0.002603553
701.39,0.002649613
701.736,0.002594663
702.082,0.002613338
702.428,0.00261
702.773,0.002590935
703.119,0.00262319
703.465,0.002675327
703.811,0.002612825
704.156,0.002632204
704.502,0.002611456
704.847,0.00266612
705.193,0.002606176
705.538,0.002601686
705.884,0.002682541
706.229,0.002611459
706.574,0.002605375
706.919,0.002659106
707.265,0.002606237
707.61,0.002592216
707.955,0.002658086
708.3,0.002626511
708.645,0.002565183
708.99,0.002675217
709.334,0.002654268
709.679,0.002652585
710.024,0.002623771
710.369,0.002658219
710.713,0.002634376
711.058,0.002628822
711.402,0.002665706
711.747,0.002632264
712.091,0.002670801
712.436,0.002668061
712.78,0.002640963
713.124,0.002627275
713.468,0.002624505
713.813,0.002708239
714.157,0.002649395
714.501,0.002641972
714.845,0.002721924
715.189,0.002681601
715.533,0.002675966
715.876,0.002662467
716.22,0.002671077
716.564,0.002659379
716.908,0.002644863
717.251,0.002717953
717.595,0.002580971
717.938,0.002680987
718.282,0.002675308
718.625,0.00264133
718.969,0.002660673
719.312,0.002633154
719.655,0.002707591
719.998,0.002599967
720.342,0.002676389
720.685,0.00269005
721.028,0.002658213
721.371,0.002680264
721.714,0.002676746
722.057,0.002684096
722.399,0.002678569
722.742,0.002683909
723.085,0.002583398
723.428,0.002631747
723.77,0.002689929
724.113,0.002712608
724.455,0.002673205
724.798,0.002653394
725.14,0.002652336
725.483,0.002715869
725.825,0.002667347
726.167,0.002714732
726.509,0.002660298
726.852,0.002685103
727.194,0.002683922
727.536,0.002742485
727.878,0.002708888
728.22,0.00271187
728.562,0.002769323
728.903,0.002657139
729.245,0.002734366
729.587,0.002675849
729.929,0.002630362
730.27,0.002676198
730.612,0.002687778
730.953,0.002681883
731.295,0.00274396
731.636,0.002681065
731.978,0.00268898
732.319,0.002767092
732.66,0.002676727
733.002,0.002698592
