wavelength[nm],transmittance
519.201,0.00872536735425409
519.574,0.00872536735425409
519.947,0.00872536735425409
520.319,0.17226442705969486
520.692,-2.685528694239494
521.064,-0.7241264050741376
521.436,0.9661994143339494
521.809,0.7979066939685575
522.181,2.9926011472908924
522.553,36.28733566442643
522.925,13.405490188976225
523.297,1.1030826191092606
523.67,1.2796824281265646
524.042,-0.46773561581486506
524.413,-1.328322456407675
524.785,-0.28299017330478
525.157,-0.5473522400094301
525.529,-0.6865425692603058
525.901,-0.6424972933123799
526.273,-0.9846213772575252
526.644,-18.047038327090952
527.016,-0.3935248878866734
527.387,-1.2787942917996549
527.759,0.1012779572997711
528.13,0.09837450781377746
528.502,0.09856010131727819
528.873,0.09784937678928124
529.244,0.0979757932436458
529.615,0.09808212008770612
529.987,0.09795919631343292
530.358,0.0984024658325839
530.729,0.09803319395829044
531.1,0.0980386593601818
531.471,0.09796281683082855
531.842,0.09795021155642536
532.212,0.09775893121990928
532.583,0.09770097488925983
532.954,0.09770592511166329
533.325,0.09766756975074813
533.695,0.09750926386355059
534.066,0.09775063724535889
534.437,0.09745757618878487
534.807,0.09790225265132434
535.177,0.09757365862191392
535.548,0.09731543082969375
535.918,0.09751381953719605
536.288,0.0972042631814349
536.659,0.09708053547518501
537.029,0.09716770847397635
537.399,0.09729125208357339
537.769,0.09721512784878669
538.139,0.09698453478623406
538.509,0.09690348591339819
538.879,0.0968389726861994
539.249,0.09682038614346114
539.619,0.096939825325923
539.988,0.0966023796469226
540.358,0.09688585892560012
540.728,0.09664855693317866
541.097,0.09666087852925298
541.467,0.09642637953059155
541.836,0.09640186026515993
542.206,0.09631071760529777
542.575,0.09655940673237479
542.944,0.09648392850780227
543.314,0.0960548442909449
543.683,0.09615427093213333
544.052,0.09621345083801328
544.421,0.0961908777777582
544.79,0.0960899321067529
545.159,0.09614940405245764
545.528,0.09633940748813824
545.897,0.09586431940066821
546.266,0.09566596632963333
546.635,0.0955323369180333
547.004,0.0957335000562078
547.372,0.09570781971827906
547.741,0.09556972597954816
548.11,0.09538774103823174
548.478,0.09551545293813554
548.847,0.09501386628612087
549.215,0.0953397779049657
549.583,0.09578226082513368
549.952,0.09525311042839747
550.32,0.09608376464045967
550.688,0.09502261995926423
551.056,0.0953018739738424
551.425,0.09518681784061263
551.793,0.09502705023842246
552.161,0.09480102829605475
552.529,0.09502288520405364
552.897,0.09488483916874284
553.264,0.09492273904910097
553.632,0.09499871605437385
554.0,0.0945859668798839
554.368,0.09475103683791554
554.735,0.09463062283153255
555.103,0.09468799916516506
555.47,0.09456170462337223
555.838,0.09460545274758365
556.205,0.09448216670743079
556.573,0.09455911788796408
556.94,0.09431395644872353
557.307,0.0944132341620152
557.675,0.09425091920818762
558.042,0.09424129146610224
558.409,0.0943399843314148
558.776,0.09429700618423655
559.143,0.09406689907663478
559.51,0.09380288629691758
559.877,0.09407134315819268
560.244,0.09423356549706648
560.611,0.09388040027347998
560.977,0.09369338537427173
561.344,0.09391175798407123
561.711,0.09371587211120458
562.077,0.0937137586595613
562.444,0.09383560055476226
562.81,0.09396488233924344
563.177,0.09377179223199449
563.543,0.09357087265437228
563.909,0.09360405373018581
564.276,0.09357829558070359
564.642,0.0933546370583162
565.008,0.09337523008225132
565.374,0.09353453439726211
565.74,0.09361201891844331
566.106,0.09334787703692674
566.472,0.093175472531725
566.838,0.0933532225219242
567.204,0.09326841313642492
567.57,0.09299702161039416
567.936,0.09280721725545955
568.301,0.09306528215294672
568.667,0.09287101923487996
569.033,0.09291410008194045
569.398,0.09293455660723508
569.764,0.09293950608550727
570.129,0.09275280631181464
570.495,0.09273068573171854
570.86,0.09259281229962696
571.225,0.09292193668020861
571.59,0.0926367821320563
571.956,0.09261511052546023
572.321,0.09265495370821386
572.686,0.09225042916058025
573.051,0.09251887176034036
573.416,0.09212647068029742
573.781,0.09234479910665364
574.146,0.09243162561929312
574.51,0.09228983879892348
574.875,0.09218950595839104
575.24,0.09217342881904508
575.604,0.09189820493629292
575.969,0.09186757029297697
576.334,0.09209431049715022
576.698,0.09193176897546396
577.063,0.09208248551073803
577.427,0.09191223623845433
577.791,0.09170860185379107
578.156,0.09171888781011657
578.52,0.09171859682046628
578.884,0.09168468919237732
579.248,0.09167214165042392
579.612,0.09165434846423948
579.976,0.09163668727062045
580.34,0.09142470077948395
580.704,0.09148811870049445
581.068,0.09152529274116833
581.432,0.09159721617863265
581.796,0.09138872397121509
582.159,0.09183887315039235
582.523,0.09161955686394707
582.886,0.0916747315407752
583.25,0.09097331497238668
583.614,0.09113547314305062
583.977,0.09102089201653495
584.34,0.09123690297957607
584.704,0.09106280080768353
585.067,0.09094794494083665
585.43,0.09099781188853608
585.793,0.09092601587189583
586.157,0.09081644411080343
586.52,0.09087368821246963
586.883,0.09100880314776326
587.246,0.0908556015555824
587.609,0.09095120384395532
587.971,0.09067036672695798
588.334,0.09066866916623763
588.697,0.09083935669413021
589.06,0.0905910578072604
589.422,0.09052782788143666
589.785,0.09051944858800098
590.148,0.09040973961447159
590.51,0.0903124805092729
590.872,0.09045298402129458
591.235,0.09038266920315846
591.597,0.09044735059214203
591.959,0.09057561279752549
