wavelength[nm],transmittance
519.201,0.003787447094753004
519.574,0.003787447094753004
519.947,0.003787447094753004
520.319,0.005847442272628613
520.692,-3.340932502184299
521.064,-0.7331825538879053
521.436,0.8339044622800963
521.809,0.7448721140496102
522.181,3.0943807932645204
522.553,41.403198558873115
522.925,14.175503791743017
523.297,1.1073847415764575
523.67,1.4970723737325307
524.042,-0.6455985074632898
524.413,-1.4200275928174493
524.785,-0.3801648864767265
525.157,-0.6205882318012071
525.529,-0.8116900375441609
525.901,-0.7900425344494448
526.273,-1.100348436471569
526.644,-18.073179533760253
527.016,-0.47418224625057664
527.387,-1.3530130604452022
527.759,0.01503130371871089
528.13,0.012223405422588155
528.502,0.01225390874039809
528.873,0.012129500996604071
529.244,0.012146621510259673
529.615,0.01225458067138815
529.987,0.01207586981756646
530.358,0.012312792416748578
530.729,0.012156865574979718
531.1,0.01206648192994626
531.471,0.012167882406922398
531.842,0.012062516608688633
532.212,0.01208624290839795
532.583,0.012068398140877644
532.954,0.012013841611671681
533.325,0.012143845476802301
533.695,0.012051723518843677
534.066,0.01236376919836342
534.437,0.011989268879183635
534.807,0.012269140911375513
535.177,0.012137185747600884
535.548,0.011927650813213593
535.918,0.012260552156402161
536.288,0.012070180676982317
536.659,0.01198504940071042
537.029,0.011987289741949151
537.399,0.012071704453126898
537.769,0.011995048794152632
538.139,0.011928813194201355
538.509,0.012054271615242673
538.879,0.011922675082181103
539.249,0.011900079155180567
539.619,0.012088264829517898
539.988,0.011922786784842833
540.358,0.012128503698648414
540.728,0.01188966545964207
541.097,0.01215212901597496
541.467,0.011903517966148167
541.836,0.012030299705980045
542.206,0.011812768888963219
542.575,0.01197363557066366
542.944,0.011859786703986547
543.314,0.01186608029298177
543.683,0.011835245781007956
544.052,0.011795152487762585
544.421,0.011846853332931402
544.79,0.012052717492393651
545.159,0.011821366355666432
545.528,0.012090171494077966
545.897,0.011831128498433504
546.266,0.01176891881381496
546.635,0.011809457044442535
547.004,0.011754396996973091
547.372,0.011906503763549115
547.741,0.011803266962799212
548.11,0.011748266993205136
548.478,0.011756444934913058
548.847,0.011695513052442532
549.215,0.011837455479398275
549.583,0.011881241199324336
549.952,0.011767778451313484
550.32,0.01262471793145163
550.688,0.011693759956880451
551.056,0.011854551685208667
551.425,0.011690931399390099
551.793,0.01175010999173548
552.161,0.011825839472081238
552.529,0.011652485219495596
552.897,0.01177868904628233
553.264,0.011713307848524415
553.632,0.011917235023855569
554.0,0.011653395553059573
554.368,0.01176749405736431
554.735,0.011592823565486828
555.103,0.011806789367622115
555.47,0.011627020660367336
555.838,0.011832268616067322
556.205,0.011741340865160196
556.573,0.01191049577810641
556.94,0.011609927150616105
557.307,0.011737905531193199
557.675,0.011632120362678992
558.042,0.01164688617774937
558.409,0.011707816607650169
558.776,0.011825100328424409
559.143,0.011631695132961613
559.51,0.011562088701636096
559.877,0.011657238731830631
560.244,0.011746079068429265
560.611,0.011543090321320842
560.977,0.011621318414934419
561.344,0.011555910846813301
561.711,0.011604238803426823
562.077,0.011528964182966837
562.444,0.01161879569076182
562.81,0.011713711190428314
563.177,0.011761090359608348
563.543,0.011706964245424766
563.909,0.011715223290294197
564.276,0.011726310911648392
564.642,0.011600192067798469
565.008,0.011523196566495652
565.374,0.01154919873221382
565.74,0.011752631504662594
566.106,0.011732160438516784
566.472,0.011562401558843085
566.838,0.011619061365563557
567.204,0.01170373475552814
567.57,0.011483281972498515
567.936,0.011520821598674737
568.301,0.01169246670872783
568.667,0.011531173503691592
569.033,0.011488290460216481
569.398,0.011537463945383923
569.764,0.01151713295114307
570.129,0.01148862895182729
570.495,0.01145392561889541
570.86,0.011446042272487132
571.225,0.011487240615608477
571.59,0.011504510034398152
571.956,0.011443373735011727
572.321,0.01155752635818277
572.686,0.011406796931976593
573.051,0.011448788868160142
573.416,0.011402958832413884
573.781,0.011543656627885542
574.146,0.011406163248151231
574.51,0.01145675676155817
574.875,0.011440480596683874
575.24,0.011396147235994124
575.604,0.011342444083847132
575.969,0.011376758291859166
576.334,0.011408113270661102
576.698,0.011373006417948726
577.063,0.011549961305550449
577.427,0.011489749357443306
577.791,0.011484428518261027
578.156,0.011466999936488058
578.52,0.011381917214619158
578.884,0.011417663524871809
579.248,0.011650707274516458
579.612,0.011413061435456055
579.976,0.01157120510167521
580.34,0.011357563740097096
580.704,0.01135567680027314
581.068,0.011382024574595601
581.432,0.011490403665678562
581.796,0.011369681792737625
582.159,0.011717440913982358
582.523,0.01179623710763541
582.886,0.011576395400550742
583.25,0.011356823565106838
583.614,0.011369001547561769
583.977,0.011345129340003856
584.34,0.011630742139092626
584.704,0.011351064610862403
585.067,0.011387996182086845
585.43,0.011303741261708938
585.793,0.011355465338370277
586.157,0.011276848511377901
586.52,0.011392376568919524
586.883,0.011380666151966048
587.246,0.011422613345735974
587.609,0.011416601378749267
587.971,0.011283045525245247
588.334,0.011353841698761353
588.697,0.011525239418307258
589.06,0.011351816130619051
589.422,0.011275016342128404
589.785,0.01129103631221108
590.148,0.011235719989369683
590.51,0.011197454181515671
590.872,0.01127579627702994
591.235,0.011272563725473651
591.597,0.01122487667283941
591.959,0.011254798171421259
592.322,0.011273689061882112
592.684,0.011240908751121922
593.046,0.011184361356948521
593.408,0.011172916346193516
593.77,0.011184896148028065
594.132,0.011279562674785587
594.494,0.011197044094236743
594.856,0.011192692058864442
595.218,0.011149893561377149
595.579,0.011193480141553426
595.941,0.011120451379884268
596.303,0.011252942377010095
596.664,0.011333901140897393
597.026,0.011287778134661752
597.388,0.01115884391439672
597.749,0.011136924532001121
598.11,0.011138521680880347
598.472,0.011143861374039938
598.833,0.011125486404701181
599.194,0.01116737165445148
599.555,0.011097309572102622
599.917,0.011074862819629282
600.278,0.011223775929735204
600.639,0.01111725285778663
601.0,0.01115644690779229
601.361,0.011140648210696333
601.721,0.011078732706884134
602.082,0.011120243130188499
602.443,0.011067693972358577
602.804,0.011084948164170109
603.164,0.01158336852192912
603.525,0.011158140392988736
603.886,0.010986852288098758
604.246,0.011074575679977864
604.607,0.011066708267529361
604.967,0.011027089562667196
605.327,0.011059805090549126
605.688,0.01103236151063075
606.048,0.011179116490672485
606.408,0.011041522391123743
606.768,0.01117504447203322
607.128,0.011058205573562414
607.488,0.011307187187748742
607.848,0.011001571422930173
608.208,0.01102504708319981
608.568,0.011006257134330543
608.928,0.010997215164345034
609.288,0.010975374540314671
609.647,0.011023378479075134
610.007,0.011022565467730354
610.367,0.01107349252166024
610.726,0.011012844253577883
