# wavelength(nm), loading, standard deviation, standard error
600.0,nan,nan,nan
800.0,nan,nan,nan
1100.0,1.196897375174749,0.026981742200878248,2.188568756651064e-05
1300.0,1.1913435370385654,0.019563785454140822,1.5816729428457667e-05
1600.0,1.1542758836646239,0.02690655968227086,2.209249902468268e-05
1800.0,1.123885185998442,0.040722734892958884,3.41733989963267e-05
