# wavelength(nm), loading, standard deviation, standard error
516.6666666666667,1.1727741553355862,0.15937283088464843,0.0012929395664155027
550.0,1.183826567280292,0.12031222535418092,0.0009423291723401772
583.3333333333334,1.2033384213362652,0.09612176268866846,0.000746882399703393
616.6666666666667,1.204670083751335,0.07744460995318594,0.0006003277762503534
650.0,1.200696456769439,0.06484777635522768,0.0005023941299876873
683.3333333333334,1.2010637878512718,0.05674856028050941,0.00043987167228001604
716.6666666666667,1.1989918223712939,0.05519926859031037,0.0004277342658613867
750.0000000000001,1.197215322014468,0.04646631714583704,0.00036019318658285087
783.3333333333335,1.1958184054380714,0.04257391948967543,0.0003299015487490485
816.6666666666666,1.1937567357276617,0.038617596892160384,0.00029926232367153853
850.0000000000001,1.1940792927457893,0.035448287204125434,0.00027471039622857025
883.3333333333334,1.1956435561109555,0.034116233078378085,0.00026439543587968223
